"quarter","assets.group","grossSR","netSR","grossCR","netCR","av.daily.ntrades","grossPnL","netPnL","stat"
"2021_Q1",2,-0.879377014087484,-1.17938913430006,-1.42901565885136,-1.74830028847982,7.44736842105263,-14618,-19526,-5.19550598144675
"2021_Q2",2,1.89609682498523,1.52794172376939,4.27099322201895,3.37417711350483,7.37179487179487,25176.5999999999,20161.5999999999,10.1352850724887
"2021_Q3",2,-0.049664294579314,-0.545599264858354,-0.0921619976467091,-0.88367369422935,7.83544303797468,-543.499999999895,-5926.4999999999,-1.57243885694726
"2021_Q4",2,3.81886249971404,3.34861011763678,13.2515238786224,11.3873674838052,7.91139240506329,39326.5999999999,34165.5999999999,40.211291720116
"2022_Q1",2,-1.29421475037693,-1.66760872149438,-2.33846271165932,-2.61609933890031,7.14285714285714,-16695.5,-21431.5,-8.01798293499984
"2022_Q2",2,1.59629389452632,1.10216903272821,3.45594405594399,2.29988739746803,7.47435897435897,16908.6999999997,11622.6999999997,5.64153198008725
"2022_Q3",2,0.485853140205597,0.0368202677018523,1.59139666085868,0.102328230287029,7.50632911392405,5484.39999999995,413.399999999952,0
"2022_Q4",2,0.293366508663983,-0.0153787547915064,0.765921923064888,-0.0380470723761801,7.1025641025641,4561.19999999975,-237.800000000249,0
"2023_Q1",2,-0.117482324201296,-0.478796149948957,-0.194881542643292,-0.730854768419951,7.35897435897436,-1586.69999999967,-6438.69999999967,-1.36109031717458
"2023_Q2",2,5.69328326391637,5.31728195077053,17.5214593301436,15.8074958994693,7.92207792207792,73239.7,67997.7,66.6993160730054
"2023_Q3",2,0.311454762123147,-0.20397981126999,0.748272415701209,-0.471778544096346,7.28205128205128,2907.40000000012,-1889.59999999988,-0.30022343174655
"2023_Q4",2,-0.668409706425112,-1.05930821122402,-1.24133979658171,-1.78950207525241,7.28205128205128,-8356.80000000017,-13174.8000000002,-4.6138837838219
